ERCIM News,ERCIM NEWS,EUROPEAN RESEARCH CONSORTIUM INFORMATICS & MATHEMATICS,0926-4981,1564-0094,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,97,<0.1,Q4,0.02,0%,
Earth Science Informatics,EARTH SCI INFORM,SPRINGER HEIDELBERG,1865-0473,1865-0481,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"2,321",2.7,Q2,0.63,5.69%,
Electronic Commerce Research and Applications,ELECTRON COMMER R A,ELSEVIER,1567-4223,1873-7846,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"5,349",5.9,Q1,1.24,7.94%,
Engineering Reports,ENG REP,WILEY,,2577-8196,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,"1,101",1.8,Q3,0.38,89.96%,
Entertainment Computing,ENTERTAIN COMPUT,ELSEVIER SCI LTD,1875-9521,1875-953X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"1,016",2.8,Q2,0.52,21.74%,
Forensic Science International-Digital Investigation,FORENS SCI INT-DIGIT,ELSEVIER SCI LTD,,2666-2817,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,614,2,Q3,0.46,59.76%,
Foundations and Trends in Communications and Information Theory,FOUND TRENDS COMMUN,NOW PUBLISHERS INC,1567-2190,1567-2328,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,440,2,Q3,0.56,0%,
Foundations and Trends in Computer Graphics and Vision,FOUND TRENDS COMPUT,NOW PUBLISHERS INC,1572-2740,1572-2759,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,430,3.8,Q2,2.38,90%,
Frontiers in Big Data,FRONT BIG DATA,FRONTIERS MEDIA SA,,2624-909X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,"1,128",2.4,Q3,0.51,99.71%,
Frontiers in Blockchain,FRONT BLOCKCHAIN,FRONTIERS MEDIA SA,2624-7852,2624-7852,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,463,1.9,Q3,0.51,100%,
Frontiers in Computer Science,FRONT COMP SCI-SWITZ,FRONTIERS MEDIA SA,,2624-9898,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,985,2.4,Q3,0.41,99.51%,
IADIS-International Journal on Computer Science and Information Systems,IADIS-INT J COMPUT S,IADIS,1646-3692,1646-3692,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,47,0.2,Q4,0.03,0%,
